id,categoria,pregunta,articulo_referencia,respuesta,chunks_utilizados,tiempo_respuesta_seg,nivel_confianza,notas
1,Admisión y Contratación,¿Qué documentos debo presentar para aplicar a un cargo en PLASTITEC?,Art. 2,,,,,
2,Admisión y Contratación,¿Puede la empresa pedirme prueba de embarazo al momento de la admisión?,"Art. 2, Párr. 1",,,,,
3,Admisión y Contratación,¿Qué pruebas psicotécnicas o psicológicas me pueden aplicar en el proceso de selección?,"Art. 2, Párr. 2",,,,,
4,Admisión y Contratación,¿Cuál es la duración máxima de un contrato a término fijo en PLASTITEC?,Art. 3,,,,,
5,Admisión y Contratación,¿Qué pasa si el contrato a término fijo no se renueva por escrito antes de vencer?,Art. 3,,,,,
6,Admisión y Contratación,¿En qué consiste el contrato por obra o labor y cuándo termina?,Art. 5,,,,,
7,Admisión y Contratación,¿Cuánto tiempo puede durar el período de prueba?,Art. 8,,,,,
8,Admisión y Contratación,¿Puedo ser despedido durante el período de prueba sin previo aviso?,Art. 9,,,,,
9,Admisión y Contratación,¿Tengo derecho a prestaciones sociales durante el período de prueba?,Art. 9,,,,,
10,Admisión y Contratación,¿Puede la empresa exigirme la libreta militar para contratarme?,"Art. 2, Párr. 1",,,,,
11,Contrato de Aprendizaje,¿Qué es el contrato de aprendizaje y cuánto puede durar?,Art. 10,,,,,
12,Contrato de Aprendizaje,¿Cuánto dinero recibe un aprendiz durante la fase lectiva y práctica?,Art. 10,,,,,
13,Contrato de Aprendizaje,¿Cuántos aprendices está obligada a vincular PLASTITEC según su número de trabajadores?,Art. 13,,,,,
14,Contrato de Aprendizaje,¿Qué pasa si la empresa no contrata el número mínimo de aprendices requerido?,Art. 14,,,,,
15,Contrato de Aprendizaje,¿Puede PLASTITEC contratar como aprendiz a alguien que ya trabajó en la empresa?,"Art. 15, Párr.",,,,,
16,Jornada Laboral,¿Cuál es el horario de trabajo del personal administrativo en PLASTITEC?,Art. 22,,,,,
17,Jornada Laboral,¿A qué hora termina la jornada los viernes para el personal administrativo horario dos?,Art. 22,,,,,
18,Jornada Laboral,¿Cuántas horas semanales se trabajan actualmente en PLASTITEC según la reducción gradual de jornada?,"Art. 22, Párr. 4",,,,,
19,Jornada Laboral,¿Puede la empresa cambiarme el turno de trabajo sin mi consentimiento?,"Art. 22, Párr. 1",,,,,
20,Jornada Laboral,¿Cuántas horas extras puedo trabajar máximo al día y a la semana?,Art. 30,,,,,
21,Jornada Laboral,¿Me pagan horas extras si las hago sin autorización de la empresa?,Art. 33,,,,,
22,Jornada Laboral,¿Cuál es el recargo por trabajar horas extras diurnas?,Art. 32,,,,,
23,Jornada Laboral,¿Cuál es el recargo por trabajar horas extras nocturnas?,Art. 32,,,,,
24,Jornada Laboral,¿Desde qué hora se considera trabajo nocturno según la Ley 2466 de 2025?,Art. 28,,,,,
25,Jornada Laboral,¿Puedo quedarme en la empresa después de mi jornada sin que me paguen horas extras?,Art. 33,,,,,
26,Jornada Laboral,¿Tiene derecho un trabajador de turno a retirarse si no llega su reemplazo?,Art. 25,,,,,
27,Descansos y Festivos,¿Cuáles son los días festivos remunerados en Colombia reconocidos por el RIT?,Art. 34,,,,,
28,Descansos y Festivos,¿Con qué recargo se paga el trabajo en domingo o festivo desde julio de 2025?,"Art. 34, Párr. 3",,,,,
29,Descansos y Festivos,¿Qué pasa si la empresa cierra un día no festivo por decisión propia?,Art. 37,,,,,
30,Descansos y Festivos,¿Cuánto tiempo mínimo debe durar el descanso dominical?,Art. 36,,,,,
31,Descansos y Festivos,¿Puedo perder el pago del domingo si falto un día de la semana sin justificación?,Art. 26,,,,,
32,Descansos y Festivos,¿Puede el trabajador acordar con la empresa descansar el sábado en lugar del domingo?,"Art. 34, Párr. 3.1",,,,,
33,Descansos y Festivos,¿Con qué anticipación debe la empresa avisar que ciertos trabajadores deben laborar el domingo?,Art. 35,,,,,
34,Vacaciones,¿Cuántos días de vacaciones me corresponden después de un año de trabajo?,Art. 38,,,,,
35,Vacaciones,¿Con cuánta anticipación debe avisarme la empresa la fecha de mis vacaciones?,Art. 39,,,,,
36,Vacaciones,¿Puede la empresa obligarme a tomar vacaciones en una fecha específica?,Art. 39,,,,,
37,Vacaciones,¿Puedo acumular mis vacaciones de varios años?,Art. 42,,,,,
38,Vacaciones,¿Se pueden compensar en dinero las vacaciones no disfrutadas?,Art. 41,,,,,
39,Vacaciones,¿Qué salario recibo durante mis vacaciones?,Art. 43,,,,,
40,Vacaciones,¿Pierdo mis vacaciones si se interrumpen por una enfermedad durante el disfrute?,Art. 40,,,,,
41,Permisos y Licencias,¿Para qué situaciones me puede conceder permisos la empresa obligatoriamente?,Art. 45,,,,,
42,Permisos y Licencias,¿Cuántos días de licencia por luto tengo derecho si fallece un familiar?,"Art. 45, 46.7",,,,,
43,Permisos y Licencias,¿Qué familiares cubren la licencia por luto?,Art. 46.7,,,,,
44,Permisos y Licencias,¿Cuántas semanas de licencia de maternidad me corresponden?,Art. 46.2,,,,,
45,Permisos y Licencias,¿Tiene derecho la madre adoptante a licencia de maternidad?,"Art. 46, Párr. 1",,,,,
46,Permisos y Licencias,¿Cuántas semanas de licencia de paternidad tengo derecho?,Art. 46.5,,,,,
47,Permisos y Licencias,¿Qué es la licencia parental compartida y cómo funciona?,Art. 46.5,,,,,
48,Permisos y Licencias,¿Cuánto tiempo de descanso diario tiene derecho la madre lactante?,Art. 46.4,,,,,
49,Permisos y Licencias,¿Hasta qué edad del hijo aplica el permiso de lactancia?,Art. 46.4,,,,,
50,Permisos y Licencias,¿Tengo derecho a licencia remunerada para ir a citas médicas con especialistas?,Art. 46.8,,,,,
51,Permisos y Licencias,¿Con cuánta anticipación debo avisar una cita médica con especialista?,Art. 46.8,,,,,
52,Permisos y Licencias,¿Puedo pedir licencia para asistir a reuniones escolares de mis hijos?,Art. 46.9,,,,,
53,Permisos y Licencias,¿Qué documentos necesito para solicitar licencia por citación judicial?,Art. 46.10,,,,,
54,Permisos y Licencias,¿Qué pasa si no entrego los soportes para una licencia remunerada?,"Art. 46, Párr.",,,,,
55,Permisos y Licencias,¿Cómo solicito una licencia de maternidad en caso de aborto?,Art. 46.3,,,,,
56,Salario y Dotación,¿Cada cuánto tiempo me pagan el salario en PLASTITEC?,Art. 52,,,,,
57,Salario y Dotación,¿Puede el empleador hacer descuentos a mi salario sin mi autorización?,Art. 78.1,,,,,
58,Salario y Dotación,¿Qué se entiende por salario según el RIT de PLASTITEC?,Art. 48,,,,,
59,Salario y Dotación,¿Puede la empresa pagar salarios distintos a hombres y mujeres por el mismo trabajo?,Art. 54,,,,,
60,Salario y Dotación,¿Cuándo me entregan la dotación laboral y quiénes tienen derecho a ella?,Art. 56,,,,,
61,Salario y Dotación,¿Con qué salario mínimo se calcula el salario integral?,Art. 49,,,,,
62,Salario y Dotación,¿Cómo se pagan las horas extras nocturnas junto con el salario ordinario?,Art. 53.2,,,,,
63,Salario y Dotación,¿Pueden pagarme el salario con cheque o deben hacerlo por consignación?,Art. 52,,,,,
64,Salud y Seguridad,¿Qué debo hacer si me enfermo el mismo día de trabajo?,Art. 59,,,,,
65,Salud y Seguridad,¿Qué pasa si no aviso mi enfermedad y no me presento al trabajo?,Art. 59,,,,,
66,Salud y Seguridad,¿Puedo negarme a un examen médico ordenado por la empresa?,Art. 60,,,,,
67,Salud y Seguridad,¿Qué debo hacer si sufro un accidente leve en el trabajo?,Art. 63,,,,,
68,Salud y Seguridad,¿La empresa puede terminar mi contrato si incumplo normas de seguridad gravemente?,"Art. 61, Párr.",,,,,
69,Salud y Seguridad,¿Cuándo se practican los exámenes médicos de ingreso y de egreso?,"Art. 66, 68",,,,,
70,Salud y Seguridad,¿Cuánto tiempo tiene la empresa para reportar un accidente de trabajo a la ARL?,Art. 64,,,,,
71,Obligaciones y Prohibiciones,¿Cuáles son los principales deberes de un trabajador en PLASTITEC?,Art. 69,,,,,
72,Obligaciones y Prohibiciones,¿Puede un trabajador atender asuntos personales durante la jornada laboral?,Art. 69.o,,,,,
73,Obligaciones y Prohibiciones,¿Está prohibido usar el celular personal durante la jornada laboral?,Art. 88.A.v,,,,,
74,Obligaciones y Prohibiciones,¿Puedo llevar a personas externas a las instalaciones de PLASTITEC?,Art. 80.2,,,,,
75,Obligaciones y Prohibiciones,¿Qué pasa si divulgo información confidencial de la empresa?,"Art. 76.2, 79.17",,,,,
76,Obligaciones y Prohibiciones,¿Está prohibido llevar armas al lugar de trabajo?,Art. 79.3,,,,,
77,Obligaciones y Prohibiciones,¿Puede un trabajador presentarse al trabajo bajo efectos del alcohol?,Art. 79.2,,,,,
78,Obligaciones y Prohibiciones,¿Puedo retirar documentos físicos o digitales de la empresa sin autorización?,Art. 79.10,,,,,
79,Obligaciones y Prohibiciones,¿Qué obligaciones especiales tiene la empresa con sus trabajadores?,Art. 75,,,,,
80,Obligaciones y Prohibiciones,¿Puede la empresa obligarme a comprar en tiendas o almacenes que ella administre?,Art. 78.2,,,,,
81,Obligaciones y Prohibiciones,¿Puede la empresa hacer propaganda política dentro de las instalaciones?,Art. 78.6,,,,,
82,Obligaciones y Prohibiciones,¿Qué ocurre si el empleador cierra la empresa de manera intempestiva?,Art. 78.9,,,,,
83,Proceso Disciplinario,¿Cuál es el objetivo del proceso disciplinario en PLASTITEC?,Art. 82,,,,,
84,Proceso Disciplinario,¿Con cuántos días de anticipación deben citarme a una audiencia de descargos?,Art. 85,,,,,
85,Proceso Disciplinario,¿Puedo ir acompañado a la audiencia de descargos?,Art. 85.3,,,,,
86,Proceso Disciplinario,¿Qué pasa si no me presento a la audiencia de descargos sin excusa?,Art. 86,,,,,
87,Proceso Disciplinario,¿Cuáles son las sanciones por llegar tarde al trabajo para el personal operativo?,Art. 88.A.i,,,,,
88,Proceso Disciplinario,¿Cuántas veces debo llegar tarde para recibir una suspensión?,"Art. 88.A.i, 89.A.i",,,,,
89,Proceso Disciplinario,¿Qué sanciones existen por faltar un día completo sin excusa?,"Art. 88.A.iii, B.iii",,,,,
90,Proceso Disciplinario,¿Qué conductas se consideran faltas graves en materia de seguridad?,Art. 89.A.viii-xvii,,,,,
91,Proceso Disciplinario,¿Puedo apelar una sanción disciplinaria? ¿Ante quién?,Art. 85.6,,,,,
92,Terminación del Contrato,¿Cuáles son las causas justas para que la empresa termine mi contrato?,Art. 97,,,,,
93,Terminación del Contrato,¿Puede la empresa terminar mi contrato sin seguir el proceso disciplinario completo?,Art. 98,,,,,
94,Terminación del Contrato,¿Qué protección tengo si estoy embarazada frente a un posible despido?,Art. 130.I,,,,,
95,Terminación del Contrato,¿Qué es el fuero de prepensionado y quiénes lo tienen?,Art. 130.V,,,,,
96,Teletrabajo / Trabajo en Casa,¿Cuál es la diferencia entre trabajo en casa y teletrabajo en el RIT?,"Art. 99, 101",,,,,
97,Teletrabajo / Trabajo en Casa,¿Qué obligaciones tengo si trabajo como teletrabajador?,Art. 104,,,,,
98,Teletrabajo / Trabajo en Casa,¿Tengo derecho a auxilio de conectividad si soy teletrabajador?,Art. 106,,,,,
99,Acoso Laboral y Sexual,¿Qué conductas constituyen acoso laboral según el RIT de PLASTITEC?,Art. 114,,,,,
100,Acoso Laboral y Sexual,¿Qué garantías de protección tengo si soy víctima de acoso sexual en el trabajo?,Art. 128,,,,,
101,Jornada Laboral,¿Qué recargo corresponde al trabajo nocturno y desde qué hora aplica según la Ley 2466 de 2025?,"Art. 28, 32",,,,,
102,Jornada Laboral,¿Cuántas horas semanales es la jornada máxima para el año 2026?,"Art. 22, Párr. 4",,,,,
103,Jornada Laboral,¿Cuál es el número máximo de horas que puedo trabajar por día en una jornada flexible?,"Art. 22, Párr. 5",,,,,
104,Jornada Laboral,¿Cuántas horas diarias y semanales puede trabajar un turno de operación continua sin solución de continuidad?,"Art. 22, Párr. 5 / Art. 27",,,,,
105,Jornada Laboral,¿Cuál es el horario laboral de lunes a viernes para el personal administrativo?,Art. 22,,,,,
106,Jornada Laboral,¿A qué hora termina la jornada los viernes en el Horario Uno del personal administrativo?,Art. 22,,,,,
107,Descansos y Festivos,¿Con qué recargo se pagan los domingos y festivos trabajados actualmente (2026)?,"Art. 34, Párr. 3",,,,,
108,Descansos y Festivos,¿Cuándo aumentará el recargo dominical al 90% y cuándo llegará al 100%?,"Art. 34, Párr. 3",,,,,
109,Descansos y Festivos,¿Qué diferencia hay entre trabajo dominical ocasional y habitual según el RIT?,"Art. 35, Párr.",,,,,
110,Descansos y Festivos,¿Puedo perder el pago del domingo si llego tarde sin justificación durante la semana?,Art. 26,,,,,
111,Horas Extras y Recargos,¿Qué porcentaje de recargo se paga por trabajo extra diurno?,Art. 32,,,,,
112,Horas Extras y Recargos,¿Qué porcentaje de recargo aplica para horas extras nocturnas?,Art. 32,,,,,
113,Horas Extras y Recargos,¿Las horas extras se acumulan con otros recargos como el nocturno o dominical?,Art. 32.4,,,,,
114,Horas Extras y Recargos,¿Qué pasa si trabajo horas extras sin autorización previa de la empresa?,"Art. 33, 80.5",,,,,
115,Horas Extras y Recargos,¿Puede mi jefe pedirme que trabaje más horas de las permitidas por ley?,"Art. 30, 114.j",,,,,
116,Horas Extras y Recargos,¿Qué debo hacer si siento que no me están pagando correctamente mis horas extras?,"Art. 31, 110",,,,,
117,Horas Extras y Recargos,¿Puedo trabajar horas extras el domingo? ¿Cómo se liquidan?,"Art. 29, 32, 34",,,,,
118,Proceso Disciplinario,¿Qué consecuencias tiene llegar tarde por primera vez al trabajo?,Art. 88.A.i,,,,,
119,Proceso Disciplinario,¿Qué pasa si no me presento a una audiencia de descargos sin dar excusa?,Art. 86,,,,,
120,Proceso Disciplinario,¿Qué es un descargo y cómo me puede afectar?,"Art. 85, 86",,,,,
121,Proceso Disciplinario,¿Qué conductas pueden ser consideradas falta grave dentro de la empresa?,Art. 89,,,,,
122,Proceso Disciplinario,¿Puede la empresa sancionarme con algo que no esté en el reglamento?,Art. 87,,,,,
123,Proceso Disciplinario,¿Qué atenuantes pueden reducir una sanción disciplinaria?,Art. 95,,,,,
124,Proceso Disciplinario,¿Qué situaciones agravan una falta disciplinaria?,Art. 92,,,,,
125,Acoso Laboral y Sexual,¿Qué debo hacer si siento que mi jefe me está presionando de manera excesiva?,"Art. 112, 114, 118",,,,,
126,Acoso Laboral y Sexual,¿Cómo puedo denunciar una situación de acoso laboral en PLASTITEC?,"Art. 118, 124",,,,,
127,Acoso Laboral y Sexual,¿Qué conductas NO se consideran acoso laboral según el RIT?,Art. 115,,,,,
128,Acoso Laboral y Sexual,¿Qué modalidades de acoso laboral reconoce el RIT de PLASTITEC?,Art. 113,,,,,
129,Acoso Laboral y Sexual,¿Tiene el Comité de Convivencia Laboral la obligación de guardar confidencialidad?,Art. 118.3,,,,,
130,Reclamos y Canales de Comunicación,¿Ante quién puedo presentar un reclamo laboral en PLASTITEC?,Art. 110,,,,,
131,Reclamos y Canales de Comunicación,¿Cómo puedo comunicarme con el área de Recursos Humanos de PLASTITEC?,"Art. 78, RIT general",,,,,
132,Reclamos y Canales de Comunicación,¿Puede un sindicato asesorarme en mis reclamos ante la empresa?,Art. 111,,,,,
133,Obligaciones y Prohibiciones,¿Puede un trabajador con contrato de dirección y manejo exigir el pago de horas extras?,Art. 106,,,,,
134,Obligaciones y Prohibiciones,¿Qué pasa si un trabajador hace llorar o maltrata a un compañero en el trabajo?,"Art. 69, 89, 97",,,,,
135,Obligaciones y Prohibiciones,¿Está prohibido escuchar música o atender asuntos personales durante la jornada?,"Art. 69.o, 79.11",,,,,
136,Obligaciones y Prohibiciones,¿Qué ocurre si trabajo horas extras que no me autorizaron?,"Art. 80.5, 33",,,,,
137,Salud y Seguridad / BPM,¿Cuáles son las normas de ingreso al vestidor en PLASTITEC?,Art. 77.9 / BPM,,,,,
138,Salud y Seguridad / BPM,¿Cómo se clasifican las áreas de la planta según nivel de contaminación?,BPM PLASTITEC,,,,,
139,Salud y Seguridad / BPM,¿Está prohibido el uso de maquillaje y joyas en las áreas de producción?,Art. 69.j / BPM,,,,,
140,Salud y Seguridad / BPM,¿Cómo se debe realizar el lavado de manos según los instructivos de PLASTITEC?,BPM PLASTITEC,,,,,
141,Salud y Seguridad / BPM,¿Qué protocolo debo seguir para ingresar a un área gris de la planta?,BPM PLASTITEC,,,,,
142,Contratos y Fueros,¿Qué tipos de contrato maneja PLASTITEC?,"Art. 3, 4, 5, 10",,,,,
143,Contratos y Fueros,¿Qué fueros de estabilidad laboral reforzada existen en PLASTITEC?,Art. 130,,,,,
144,Contratos y Fueros,¿Qué protección tiene un trabajador que está a menos de 3 años de pensionarse?,Art. 130.V,,,,,
145,Teletrabajo / Trabajo en Casa,¿Un teletrabajador tiene derecho al pago de horas extras y dominicales?,Art. 106,,,,,
146,Permisos y Licencias,¿Qué debo hacer si fui elegido jurado de votación y necesito permiso?,Art. 45,,,,,
147,Permisos y Licencias,¿Qué pasa si el tío de un trabajador fallece? ¿Hay licencia por luto?,Art. 46.7,,,,,
148,Permisos y Licencias,¿Hasta cuándo puedo solicitar un permiso? ¿Cuántos días de antelación necesito?,"Art. 46.8, 46.9, 46.10",,,,,
149,Permisos y Licencias,¿Cómo funcionan los permisos no remunerados en PLASTITEC?,"Art. 90, 46",,,,,
150,Generalidades del RIT,¿Qué es el Reglamento Interno de Trabajo (RIT) de PLASTITEC?,Art. 1,,,,,
151,Generalidades del RIT,¿El RIT hace parte de mi contrato de trabajo?,Art. 1,,,,,
152,Generalidades del RIT,¿Cuáles son los beneficios generales de trabajar en PLASTITEC según el RIT?,"Art. 38, 46, 56, 75",,,,,
153,Generalidades del RIT,¿Dónde puedo consultar el RIT físicamente dentro de la empresa?,Art. 131,,,,,
154,Como cancelo mis vacaciones,Vacaciones,Art. 39 / Art. 40,,,,,
155,Mi Jefe es injusto,Fuera de alcance,—,,,,,
156,Me explicas como funcionan mis turnos,Jornada Laboral,Art. 22 / Art. 24,,,,,
157,Hola Soy María y me gustaría saber la fecha de vacaciones programada,Fuera de alcance,—,,,,,
158,Hola me explicas como se calculan las horas extras en Platiect,Horas Extras y Recargos,Art. 29 / Art. 32,,,,,
159,Cómo se calculan las horas extras en la planta de producción,Horas Extras y Recargos,Art. 29 / Art. 32,,,,,
160,Por qué la planta tiene un horario en desventaja con el administrativo,Jornada Laboral,Art. 22,,,,,
161,Pregunta Incoherente,Fuera de alcance,—,,,,,
162,Pregunta en inglés con contenido de red/IP (socket 172.16.1.162:5173),Fuera de alcance,—,,,,,
163,"""9"" — entrada numérica aislada",Fuera de alcance,—,,,,,
164,Fragmento de El Principito (texto literario),Fuera de alcance,—,,,,,
165,Becas de Estudio,Generalidades del RIT,Art. 75 (beneficios) / N/A si no está en RIT,,,,,
166,Cuáles son los beneficios de Ley que tiene Plastitec,Generalidades del RIT,"Art. 38, 46, 56, 75",,,,,
167,"""1111"" — entrada numérica aislada",Fuera de alcance,—,,,,,
168,"""10"" — entrada numérica aislada",Fuera de alcance,—,,,,,
169,What are the benefits I get from Plastitec? (inglés),Generalidades del RIT,"Art. 38, 46, 56, 75",,,,,
170,Te gustaría jugar conmigo,Fuera de alcance,—,,,,,
171,Me puedes compartir páginas de juegos en línea,Fuera de alcance,—,,,,,
172,Me puedes generar en PDF el reglamento interno del trabajo en Plastitec,Generalidades del sistema,Art. 131 (consulta física del RIT),,,,,
173,Caja de Ahorro,Salario y Dotación,Art. 75 (beneficios) / N/A si no está en RIT,,,,,
174,Me puedes generar mi carta de renuncia,Fuera de alcance,—,,,,,
175,Puedes generarme en PDF mi historia laboral,Fuera de alcance,—,,,,,
176,Cuántos años tiene el Gerente de la empresa y quién es,Fuera de alcance,—,,,,,
177,"Problema matemático (Jerónimo, Adriana y Lautaro — puntos)",Fuera de alcance,—,,,,,
178,Cálculo de horas semanales con turnos rotativos (lunes–sábado),Horas Extras y Recargos,"Art. 22, Párr. 4 / Art. 27 / Art. 29 / Art. 32",,,,,
179,Puedes descargar el código sustantivo del trabajo,Fuera de alcance,—,,,,,
180,mE pUEDES dECIR QUE NORMAS ApLIcAN A pLASTITEC (mayúsculas mezcladas),Generalidades del sistema,Art. 1 / Art. 131,,,,,
181,Me puedes decir cuáles son tus fuentes para dar respuestas,Generalidades del sistema,Art. 1 / Art. 131,,,,,
